,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
0,13604,0.0,opponent,1.8934433,18.281116,opponent,7.491527,13.353693,teammate,2.5034525,1.6021669,receiver,7.8704643,1.6626282,1.8934433,18.281116,-0.817142999999998,-0.38988000000003353,-0.00509099999999485,-0.03843000000001595,-0.13817999999999664,-0.31243800000000155,0.1493309999999859,-1.2000599999999961,normal,8.978129,2.1132438,1.8934433,18.281116,0.9666666666666667,Serve,T,0
1,13605,0.03333333333333333,opponent,1.8662052,18.26812,opponent,7.4913573,13.352412,teammate,2.4988465,1.5917523,receiver,7.875442,1.6226262,2.1377428068965516,17.723603165517243,0.6998400000000005,-2.606400000000022,-0.05441700000000438,-0.2040899999999901,-0.22322399999999742,1.27062,0.3900720000000124,-0.6588150000000015,undef,0,0,0,0,0,,T,0
2,13606,0.06666666666666667,opponent,1.8895332,18.18124,opponent,7.4895434,13.345609,teammate,2.4914057,1.6341063,receiver,7.8884444,1.6006657,2.3820423137931033,17.166090331034486,1.3647719999999963,-2.459339999999983,-0.02423099999997902,-0.05306999999998396,-0.7578569999999951,2.1253260000000007,0.3449969999999869,-0.8446919999999958,undef,0,0,0,0,0,,T,0
3,13607,0.1,opponent,1.9350256,18.099262,opponent,7.4887357,13.34384,teammate,2.4661438,1.7049505,receiver,7.8999443,1.5725093,2.626341820689655,16.608577496551725,0.8562420000000048,-4.290899999999986,-0.007521000000014766,-0.03423000000001508,-0.25020300000000884,0.9171959999999957,0.974136000000021,0.10295699999999464,undef,0,0,0,0,0,,T,0
4,13608,0.13333333333333333,opponent,1.963567,17.956232,opponent,7.488485,13.342699,teammate,2.4578037,1.7355237,receiver,7.9324155,1.5759412,2.8706413275862066,16.051064662068967,0.007559999999997569,0.007559999999990907,0.0,0.0,0.0,0.0,1.4999999988773993e-05,4.800000000138027e-05,undef,0,0,0,0,0,,T,0
5,13609,0.16666666666666666,opponent,1.963819,17.956484,opponent,7.488485,13.342699,teammate,2.4578037,1.7355237,receiver,7.932416,1.5759428,3.1149408344827583,15.493551827586208,1.4140979999999992,-1.8252899999999528,0.03352800000001821,0.06129000000001383,-0.3302700000000014,1.6938360000000063,1.103708999999995,0.10266000000000108,undef,0,0,0,0,0,,T,0
6,13610,0.2,opponent,2.0109556,17.895641,opponent,7.4896026,13.344742,teammate,2.4467947,1.7919849,receiver,7.9692063,1.5793648,3.3592403413793104,14.936038993103448,1.8699120000000002,-10.082190000000075,0.4071239999999765,-0.15089999999998938,-0.2963009999999988,1.2604320000000002,1.0091610000000273,-0.426183,undef,0,0,0,0,0,,T,0
7,13611,0.23333333333333334,opponent,2.073286,17.559568,opponent,7.5031734,13.339712,teammate,2.436918,1.8339993,receiver,8.002845,1.5651587,3.6035398482758616,14.378526158620689,1.0439040000000022,0.791040000000045,0.06864900000000063,-0.02847000000000932,-0.4608659999999931,1.0591799999999951,2.0139599999999724,-0.2001390000000014,undef,0,0,0,0,0,,T,0
8,13612,0.26666666666666666,opponent,2.1080828,17.585936,opponent,7.5054617,13.338763,teammate,2.4215558,1.8693053,receiver,8.069977,1.5584874,3.8478393551724133,13.821013324137933,1.024685999999999,-1.5596699999999686,-0.00461999999997964,0.0743399999999994,0.083928000000002,1.1744460000000023,1.4828699999999984,0.6387030000000027,undef,0,0,0,0,0,,T,0
9,13613,0.3,opponent,2.142239,17.533947,opponent,7.5053077,13.341241,teammate,2.4243534,1.9084535,receiver,8.119406,1.5797775,4.092138862068966,13.263500489655174,2.0762100000000006,-5.821259999999988,-0.013310999999998074,0.09869999999999379,-0.1716120000000121,-0.014709000000001637,1.5462000000000309,-0.04232699999999978,undef,0,0,0,0,0,,T,0
